Faculty_ID,First_Name,Last_Name,Full_Name,Gender,Department_ID,Program,Designation,Qualification,Experience_Years,Joining_Year,Email,Phone,Is_HOD
FAC001,Nandini,Baral,Nandini Baral,Male,CSE,B.Tech,Assistant Professor,PhD,19,2007,nandini.baral@cpit.edu.in,8233734724,No
FAC002,Nitesh,Kumer,Nitesh Kumer,Female,CSE,B.Tech,Professor,M.Tech,8,2018,nitesh.kumer@cpit.edu.in,7483773237,Yes
FAC003,Ishani,Bali,Ishani Bali,Female,CSE,B.Tech,Assistant Professor,M.Tech,22,2004,ishani.bali@cpit.edu.in,6638318992,No
FAC004,Nilima,Rajan,Nilima Rajan,Male,CSE,B.Tech,Assistant Professor,M.Tech,28,1998,nilima.rajan@cpit.edu.in,6195781573,No
FAC005,Warjas,Deshpande,Warjas Deshpande,Male,CSE,B.Tech,Assistant Professor,PhD,20,2006,warjas.deshpande@cpit.edu.in,7640230271,No
FAC006,Harita,Kala,Harita Kala,Male,CSE,B.Tech,Assistant Professor,PhD,28,1998,harita.kala@cpit.edu.in,8589196960,No
FAC007,Chavvi,Thakur,Chavvi Thakur,Female,CSE,B.Tech,Assistant Professor,PhD,2,2024,chavvi.thakur@cpit.edu.in,7938302654,No
FAC008,Janaki,Raval,Janaki Raval,Female,CSE,B.Tech,Assistant Professor,M.Tech,4,2022,janaki.raval@cpit.edu.in,8652779039,No
FAC009,Hemangini,Sarin,Hemangini Sarin,Male,CSE,B.Tech,Assistant Professor,M.Tech,27,1999,hemangini.sarin@cpit.edu.in,7940736945,No
FAC010,Azaan,Anne,Azaan Anne,Male,CSE,B.Tech,Professor,M.Tech,27,1999,azaan.anne@cpit.edu.in,6586780752,No
FAC011,Tarak,Nadig,Tarak Nadig,Female,CSE,B.Tech,Assistant Professor,M.Tech,16,2010,tarak.nadig@cpit.edu.in,7554882559,No
FAC012,Janya,Ganesh,Janya Ganesh,Male,CSE,B.Tech,Assistant Professor,PhD,5,2021,janya.ganesh@cpit.edu.in,9513427468,No
FAC013,Lakshmi,Sood,Lakshmi Sood,Male,CSE,B.Tech,Assistant Professor,M.Tech,21,2005,lakshmi.sood@cpit.edu.in,9597416324,No
FAC014,Thomas,Kalla,Thomas Kalla,Male,CSE,B.Tech,Assistant Professor,PhD,9,2017,thomas.kalla@cpit.edu.in,8436525201,No
FAC015,Chakrika,Yohannan,Chakrika Yohannan,Male,CSE,B.Tech,Assistant Professor,PhD,12,2014,chakrika.yohannan@cpit.edu.in,7530555064,No
FAC016,Nitara,Gole,Nitara Gole,Male,CSE,B.Tech,Assistant Professor,PhD,27,1999,nitara.gole@cpit.edu.in,6039602934,No
FAC017,Inaya,Patil,Inaya Patil,Female,CSE,B.Tech,Associate Professor,M.Tech,29,1997,inaya.patil@cpit.edu.in,9437670786,No
FAC018,Jasmit,Lalla,Jasmit Lalla,Female,CSE,B.Tech,Assistant Professor,M.Tech,21,2005,jasmit.lalla@cpit.edu.in,8595224455,No
FAC019,Kamya,Doshi,Kamya Doshi,Male,CSE,B.Tech,Assistant Professor,M.Tech,18,2008,kamya.doshi@cpit.edu.in,6581567637,No
FAC020,Aarnav,Comar,Aarnav Comar,Female,CSE,B.Tech,Assistant Professor,PhD,4,2022,aarnav.comar@cpit.edu.in,8478492298,No
FAC021,Anvi,Sidhu,Anvi Sidhu,Female,CSE,B.Tech,Associate Professor,PhD,30,1996,anvi.sidhu@cpit.edu.in,6909018187,No
FAC022,Gabriel,Kadakia,Gabriel Kadakia,Male,CSE,B.Tech,Associate Professor,M.Tech,26,2000,gabriel.kadakia@cpit.edu.in,6296574527,No
FAC023,Maanav,Bajwa,Maanav Bajwa,Male,CSE,B.Tech,Assistant Professor,PhD,24,2002,maanav.bajwa@cpit.edu.in,8752983464,No
FAC024,Faraj,Prasad,Faraj Prasad,Male,CSE,B.Tech,Associate Professor,M.Tech,25,2001,faraj.prasad@cpit.edu.in,6174289554,No
FAC025,Aarav,Kamdar,Aarav Kamdar,Male,CSEDS,B.Tech,Assistant Professor,M.Tech,30,1996,aarav.kamdar@cpit.edu.in,7633216588,No
FAC026,Panini,Bawa,Panini Bawa,Male,CSEDS,B.Tech,Assistant Professor,M.Tech,24,2002,panini.bawa@cpit.edu.in,8415464819,No
FAC027,Kai,Soni,Kai Soni,Female,CSEDS,B.Tech,Professor,PhD,3,2023,kai.soni@cpit.edu.in,9985174740,Yes
FAC028,Maya,Bajwa,Maya Bajwa,Female,CSEDS,B.Tech,Assistant Professor,M.Tech,1,2025,maya.bajwa@cpit.edu.in,8153610978,No
FAC029,Lavanya,Shere,Lavanya Shere,Female,CSEDS,B.Tech,Assistant Professor,M.Tech,25,2001,lavanya.shere@cpit.edu.in,7391632143,No
FAC030,Pavani,Pandya,Pavani Pandya,Female,CSEDS,B.Tech,Assistant Professor,M.Tech,21,2005,pavani.pandya@cpit.edu.in,8820774123,No
FAC031,Alexander,Batra,Alexander Batra,Female,CSEDS,B.Tech,Assistant Professor,PhD,10,2016,alexander.batra@cpit.edu.in,6549475510,No
FAC032,Anirudh,Loke,Anirudh Loke,Female,CSEDS,B.Tech,Associate Professor,M.Tech,10,2016,anirudh.loke@cpit.edu.in,7077276421,No
FAC033,Tanmayi,Ravi,Tanmayi Ravi,Male,CSEDS,B.Tech,Assistant Professor,M.Tech,8,2018,tanmayi.ravi@cpit.edu.in,7570361533,No
FAC034,Max,Wali,Max Wali,Male,CSEDS,B.Tech,Assistant Professor,M.Tech,17,2009,max.wali@cpit.edu.in,9130110124,No
FAC035,Rachita,Lal,Rachita Lal,Male,IT,B.Tech,Associate Professor,M.Tech,9,2017,rachita.lal@cpit.edu.in,7197332325,No
FAC036,Victor,Zacharia,Victor Zacharia,Female,IT,B.Tech,Assistant Professor,PhD,10,2016,victor.zacharia@cpit.edu.in,8168250033,No
FAC037,Meera,Kale,Meera Kale,Male,IT,B.Tech,Associate Professor,M.Tech,21,2005,meera.kale@cpit.edu.in,9022539942,No
FAC038,Abhiram,Anand,Abhiram Anand,Male,IT,B.Tech,Assistant Professor,M.Tech,12,2014,abhiram.anand@cpit.edu.in,9670690942,No
FAC039,Chaitaly,Sarna,Chaitaly Sarna,Male,IT,B.Tech,Assistant Professor,PhD,27,1999,chaitaly.sarna@cpit.edu.in,8445879746,No
FAC040,Samuel,Bandi,Samuel Bandi,Female,IT,B.Tech,Assistant Professor,PhD,28,1998,samuel.bandi@cpit.edu.in,9548362996,No
FAC041,Mohammed,Morar,Mohammed Morar,Female,IT,B.Tech,Assistant Professor,PhD,12,2014,mohammed.morar@cpit.edu.in,9138150422,No
FAC042,Aarnav,Doctor,Aarnav Doctor,Female,IT,B.Tech,Associate Professor,M.Tech,18,2008,aarnav.doctor@cpit.edu.in,7968710393,No
FAC043,Dalbir,Bhat,Dalbir Bhat,Female,IT,B.Tech,Assistant Professor,PhD,29,1997,dalbir.bhat@cpit.edu.in,9752996740,No
FAC044,Praneel,Dutta,Praneel Dutta,Male,IT,B.Tech,Assistant Professor,M.Tech,19,2007,praneel.dutta@cpit.edu.in,9673246870,No
FAC045,Jeevika,Majumdar,Jeevika Majumdar,Male,IT,B.Tech,Assistant Professor,PhD,24,2002,jeevika.majumdar@cpit.edu.in,9850660127,No
FAC046,Mahika,Dhingra,Mahika Dhingra,Female,IT,B.Tech,Assistant Professor,M.Tech,17,2009,mahika.dhingra@cpit.edu.in,8571925558,No
FAC047,Urmi,Das,Urmi Das,Female,IT,B.Tech,Associate Professor,M.Tech,6,2020,urmi.das@cpit.edu.in,6114908732,No
FAC048,Mahika,Badal,Mahika Badal,Female,IT,B.Tech,Assistant Professor,PhD,3,2023,mahika.badal@cpit.edu.in,9466758848,No
