Transaction_ID,Student_ID,Student_Name,Book_ID,Book_Title,Issue_Date,Due_Date,Return_Date,Fine_Amount,Status
LIB001,STU0005,Yamini Doctor,BK144,Introduction to Business Mathematics,2026-02-25,2026-03-11,2026-04-21,410,Returned
LIB002,STU0007,Urmi Parikh,BK075,Microprocessors Concepts,2026-03-07,2026-03-21,2026-06-29,500,Returned
LIB003,STU0011,Chatura Oza,BK202,E-Commerce Essentials,2026-01-26,2026-02-09,2026-02-11,20,Returned
LIB004,STU0011,Chatura Oza,BK201,Fundamentals of E-Commerce,2026-01-24,2026-02-07,2026-04-21,500,Returned
LIB005,STU0011,Chatura Oza,BK085,Compiler Design Essentials,2026-03-31,2026-04-14,,500,Overdue
LIB006,STU0013,Ishita Iyengar,BK031,Introduction to Digital Electronics,2026-03-19,2026-04-02,2026-07-03,500,Returned
LIB007,STU0013,Ishita Iyengar,BK106,Big Data Analytics Concepts,2026-04-01,2026-04-15,2026-05-03,180,Returned
LIB008,STU0015,Hamsini Saran,BK081,Introduction to Machine Learning,2026-02-16,2026-03-02,,500,Overdue
LIB009,STU0017,Saksham Palan,BK258,Fundamentals of Business Communication,2026-05-06,2026-05-20,2026-06-26,370,Returned
LIB010,STU0017,Saksham Palan,BK159,Business Law Essentials,2026-03-10,2026-03-24,2026-06-20,500,Returned
LIB011,STU0017,Saksham Palan,BK010,Programming for Problem Solving,2026-03-25,2026-04-08,,500,Overdue
LIB012,STU0020,Kamya Lalla,BK101,Artificial Intelligence,2026-02-11,2026-02-25,,500,Overdue
LIB013,STU0020,Kamya Lalla,BK138,Business Economics Essentials,2026-06-14,2026-06-28,2026-06-24,0,Returned
LIB014,STU0020,Kamya Lalla,BK050,Computer Networks Essentials,2026-02-04,2026-02-18,,500,Overdue
LIB015,STU0021,Azaan Swamy,BK179,Operations Management Concepts,2026-05-07,2026-05-21,2026-06-11,210,Returned
LIB016,STU0021,Azaan Swamy,BK074,Microprocessors Essentials,2026-05-25,2026-06-08,2026-05-29,0,Returned
LIB017,STU0028,Guneet Deep,BK051,Fundamentals of Computer Networks,2026-04-30,2026-05-14,,500,Overdue
LIB018,STU0028,Guneet Deep,BK001,Mathematics-I Concepts,2026-05-16,2026-05-30,2026-05-23,0,Returned
LIB019,STU0028,Guneet Deep,BK232,Organizational Behaviour,2026-06-29,2026-07-13,2026-07-18,50,Returned
LIB020,STU0033,Hema Arya,BK163,Business Statistics Concepts,2026-04-11,2026-04-25,,500,Overdue
LIB021,STU0033,Hema Arya,BK192,Consumer Behaviour Essentials,2026-03-11,2026-03-25,2026-04-17,230,Returned
LIB022,STU0033,Hema Arya,BK229,Introduction to Organizational Behaviour,2026-04-24,2026-05-08,2026-06-01,240,Returned
LIB023,STU0035,Farhan Ram,BK048,Operating Systems Essentials,2026-05-08,2026-05-22,2026-05-21,0,Returned
LIB024,STU0035,Farhan Ram,BK205,Strategic Management Essentials,2026-02-22,2026-03-08,,500,Overdue
LIB025,STU0035,Farhan Ram,BK070,Web Technologies Concepts,2026-05-08,2026-05-22,2026-06-20,290,Returned
LIB026,STU0036,Nathaniel Jain,BK110,Advanced Mobile Computing,2026-02-22,2026-03-08,2026-03-17,90,Returned
LIB027,STU0036,Nathaniel Jain,BK153,Advanced Organizational Behaviour,2026-02-09,2026-02-23,2026-04-04,400,Returned
LIB028,STU0036,Nathaniel Jain,BK152,Marketing Management Essentials,2026-04-27,2026-05-11,2026-04-28,0,Returned
LIB029,STU0038,Ekavir Gandhi,BK038,Advanced Python Programming,2026-04-15,2026-04-29,2026-06-10,420,Returned
LIB030,STU0038,Ekavir Gandhi,BK048,Operating Systems Essentials,2026-06-14,2026-06-28,2026-06-28,0,Returned
LIB031,STU0042,Ekta Pal,BK140,Business Economics Concepts,2026-04-16,2026-04-30,,500,Overdue
LIB032,STU0042,Ekta Pal,BK251,Introduction to HR Management,2026-05-14,2026-05-28,2026-05-29,10,Returned
LIB033,STU0042,Ekta Pal,BK035,Fundamentals of Environmental Studies,2026-03-25,2026-04-08,2026-05-29,500,Returned
LIB034,STU0050,Gayathri Deshmukh,BK044,Introduction to DBMS,2026-02-03,2026-02-17,2026-03-21,320,Returned
