Student_ID,Roll_Number,First_Name,Last_Name,Full_Name,Gender,Department_ID,Program,Year,Section_ID,Email,Phone,Blood_Group,Hostel_Status,Admission_Year,CGPA
STU0001,CSE2026A001,Chaman,Bedi,Chaman Bedi,Male,CSE,B.Tech,1,SEC001,chaman.bedi@cpit.edu.in,9896423623,O-,Hosteller,2026,7.37
STU0002,CSE2026A002,Gaurangi,Patla,Gaurangi Patla,Female,CSE,B.Tech,1,SEC001,gaurangi.patla@cpit.edu.in,6980846952,A+,Day Scholar,2026,8.7
STU0003,CSE2026A003,Hredhaan,Dara,Hredhaan Dara,Female,CSE,B.Tech,1,SEC001,hredhaan.dara@cpit.edu.in,6790909441,A-,Day Scholar,2026,9.0
STU0004,CSE2026A004,Atharv,Gopal,Atharv Gopal,Female,CSE,B.Tech,1,SEC001,atharv.gopal@cpit.edu.in,9732978902,O-,Hosteller,2026,7.41
STU0005,CSE2026A005,Jagrati,Rajagopalan,Jagrati Rajagopalan,Female,CSE,B.Tech,1,SEC001,jagrati.rajagopalan@cpit.edu.in,8668949114,AB+,Day Scholar,2026,7.25
STU0006,CSE2026A006,Vasudha,Bhasin,Vasudha Bhasin,Male,CSE,B.Tech,1,SEC001,vasudha.bhasin@cpit.edu.in,8873961061,AB-,Day Scholar,2026,9.35
STU0007,CSE2026A007,Zinal,Nadig,Zinal Nadig,Female,CSE,B.Tech,1,SEC001,zinal.nadig@cpit.edu.in,7352107206,B+,Day Scholar,2026,7.35
STU0008,CSE2026A008,Tanvi,Andra,Tanvi Andra,Female,CSE,B.Tech,1,SEC001,tanvi.andra@cpit.edu.in,6166481939,AB+,Day Scholar,2026,7.33
STU0009,CSE2026A009,Unni,Sane,Unni Sane,Female,CSE,B.Tech,1,SEC001,unni.sane@cpit.edu.in,7124550916,O-,Day Scholar,2026,9.91
STU0010,CSE2026A010,Nilima,Golla,Nilima Golla,Male,CSE,B.Tech,1,SEC001,nilima.golla@cpit.edu.in,7084119341,B-,Hosteller,2026,7.84
STU0011,CSE2026A011,Yochana,Koshy,Yochana Koshy,Female,CSE,B.Tech,1,SEC001,yochana.koshy@cpit.edu.in,6390973244,B-,Hosteller,2026,7.66
STU0012,CSE2026A012,Jeevika,Dewan,Jeevika Dewan,Male,CSE,B.Tech,1,SEC001,jeevika.dewan@cpit.edu.in,8522258360,A+,Hosteller,2026,6.19
STU0013,CSE2026A013,Nakul,Sha,Nakul Sha,Female,CSE,B.Tech,1,SEC001,nakul.sha@cpit.edu.in,8090025701,AB+,Day Scholar,2026,6.96
STU0014,CSE2026A014,Suhani,Bobal,Suhani Bobal,Female,CSE,B.Tech,1,SEC001,suhani.bobal@cpit.edu.in,9927583438,A-,Day Scholar,2026,8.94
STU0015,CSE2026A015,Aadhya,Sankaran,Aadhya Sankaran,Female,CSE,B.Tech,1,SEC001,aadhya.sankaran@cpit.edu.in,7718893377,AB+,Day Scholar,2026,7.74
STU0016,CSE2026A016,Leela,Dada,Leela Dada,Male,CSE,B.Tech,1,SEC001,leela.dada@cpit.edu.in,8372748683,A-,Day Scholar,2026,9.69
STU0017,CSE2026A017,Hemal,Shanker,Hemal Shanker,Male,CSE,B.Tech,1,SEC001,hemal.shanker@cpit.edu.in,8225790324,A+,Day Scholar,2026,9.39
STU0018,CSE2026A018,Vansha,Upadhyay,Vansha Upadhyay,Male,CSE,B.Tech,1,SEC001,vansha.upadhyay@cpit.edu.in,8553388938,B-,Day Scholar,2026,6.62
STU0019,CSE2026A019,Kavya,Narasimhan,Kavya Narasimhan,Female,CSE,B.Tech,1,SEC001,kavya.narasimhan@cpit.edu.in,9094637508,AB+,Day Scholar,2026,8.11
STU0020,CSE2026A020,Pratyush,Saha,Pratyush Saha,Male,CSE,B.Tech,1,SEC001,pratyush.saha@cpit.edu.in,9314342074,AB-,Hosteller,2026,8.78
STU0021,CSE2026A021,Warjas,Lad,Warjas Lad,Male,CSE,B.Tech,1,SEC001,warjas.lad@cpit.edu.in,6774080548,O+,Day Scholar,2026,7.62
STU0022,CSE2026A022,Radhika,Narang,Radhika Narang,Male,CSE,B.Tech,1,SEC001,radhika.narang@cpit.edu.in,8333140520,B+,Day Scholar,2026,9.35
STU0023,CSE2026A023,Oliver,Koshy,Oliver Koshy,Female,CSE,B.Tech,1,SEC001,oliver.koshy@cpit.edu.in,9435023330,A-,Day Scholar,2026,6.05
STU0024,CSE2026A024,Falguni,Mohanty,Falguni Mohanty,Female,CSE,B.Tech,1,SEC001,falguni.mohanty@cpit.edu.in,7409903323,AB+,Hosteller,2026,8.62
STU0025,CSE2026A025,Ishanvi,Puri,Ishanvi Puri,Female,CSE,B.Tech,1,SEC001,ishanvi.puri@cpit.edu.in,9431674887,A-,Day Scholar,2026,9.49
STU0026,CSE2026A026,Mohini,Saxena,Mohini Saxena,Female,CSE,B.Tech,1,SEC001,mohini.saxena@cpit.edu.in,8655197795,A-,Hosteller,2026,9.31
STU0027,CSE2026A027,Dipta,Pradhan,Dipta Pradhan,Male,CSE,B.Tech,1,SEC001,dipta.pradhan@cpit.edu.in,8418006968,B+,Day Scholar,2026,9.18
STU0028,CSE2026A028,Neelima,Ravel,Neelima Ravel,Female,CSE,B.Tech,1,SEC001,neelima.ravel@cpit.edu.in,8093061628,AB-,Day Scholar,2026,6.76
STU0029,CSE2026A029,Lila,Devan,Lila Devan,Male,CSE,B.Tech,1,SEC001,lila.devan@cpit.edu.in,7633024516,AB+,Day Scholar,2026,8.73
STU0030,CSE2026A030,Oni,Joshi,Oni Joshi,Female,CSE,B.Tech,1,SEC001,oni.joshi@cpit.edu.in,7663202057,B-,Hosteller,2026,6.55
STU0031,CSE2026A031,Andrew,Ramakrishnan,Andrew Ramakrishnan,Male,CSE,B.Tech,1,SEC001,andrew.ramakrishnan@cpit.edu.in,8745614314,B+,Hosteller,2026,8.48
STU0032,CSE2026A032,Aachal,Srinivas,Aachal Srinivas,Female,CSE,B.Tech,1,SEC001,aachal.srinivas@cpit.edu.in,6291576702,A+,Day Scholar,2026,6.66
STU0033,CSE2026A033,Alexander,Sankar,Alexander Sankar,Female,CSE,B.Tech,1,SEC001,alexander.sankar@cpit.edu.in,8696692693,B+,Day Scholar,2026,9.94
STU0034,CSE2026A034,Michael,Samra,Michael Samra,Male,CSE,B.Tech,1,SEC001,michael.samra@cpit.edu.in,9226650877,A-,Day Scholar,2026,8.72
STU0035,CSE2026A035,Bahadurjit,Bhatia,Bahadurjit Bhatia,Male,CSE,B.Tech,1,SEC001,bahadurjit.bhatia@cpit.edu.in,9685652365,O-,Hosteller,2026,9.27
